USN,SGPA
1BF24CS090,9.70
1BF24CS091,9.25
1BF24CS092,9.40
1BF24CS093,9.60
1BF24CS094,9.35
1BF24CS095,9.50
1BF24CS096,8.55
1BF24CS097,9.35
1BF24CS098,9.50
1BF24CS099,8.70
1BF24CS100,9.75
1BF24CS101,8.40
1BF24CS102,9.40
1BF24CS103,7.70
1BF24CS104,3.05
1BF24CS105,0.00
1BF24CS106,8.05
1BF24CS107,8.95
1BF24CS108,9.60
1BF24CS076,8.30
1BF24CS077,5.90
1BF24CS078,8.20
1BF24CS079,5.95
1BF24CS080,7.00
1BF24CS081,9.75
1BF24CS082,9.90
1BF24CS083,9.60
1BF24CS084,9.80
1BF24CS085,8.70
1BF24CS086,9.90
1BF24CS087,9.85
1BF24CS088,8.35
1BF24CS089,9.65
1BF24CS090,8.30
1BF24CS091,9.75
1BF24CS092,9.80
1BF24CS093,9.40
1BF24CS094,9.75
1BF24CS095,9.65
1BF24CS096,9.00
1BF24CS097,9.45
1BF24CS094,9.45
1BF24CS095,5.75
1BF24CS096,3.80
1BF24CS097,9.10
1BF24CS098,8.95
1BF24CS099,6.05
1BF24CS100,6.90
1BF24CS101,8.50
1BF24CS102,8.30
1BF24CS103,4.30
1BF24CS104,5.60
1BF24CS105,3.50
1BF24CS106,8.60
1BF24CS107,8.40
1BF24CS108,1.80
1BF24CS109,2.80
1BF24CS110,6.85
1BF24CS111,8.75
1BF24CS112,2.75
1BF24CS113,4.60
1BF24CS114,8.35
1BF24CS115,9.80
1BF24CS116,1.85
1BF24CS075,9.60
1BF24CS076,9.60
1BF24CS077,9.20
1BF24CS078,9.50
1BF24CS079,1.85
1BF24CS080,4.45
1BF24CS081,9.55
1BF24CS082,8.80
1BF24CS083,9.35
1BF24CS084,5.60
1BF24CS085,4.25
1BF24CS086,9.85
1BF24CS087,9.85
1BF24CS088,6.82
1BF24CS089,9.25
1BF24CS090,9.30
1BF24CS091,7.60
1BF24CS092,9.15
1BF24CS093,2.45
1BF24CS094,9.15
1BF24CS095,8.65
1BF24CS096,9.35
